Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct,Profit_per_Hectare,Revenue_per_Hectare,Cost_per_Hectare,Calculated_Production,Production_Error,Calculated_Profit,Profit_Error,Agricultural_Performance_Index
SF10001,Andhra Pradesh,Rajkot,Wheat,Kharif,0.53,486.4,24.3,69.1,5.8,7.14,32.8,75.8,61.3,91.0,Drip,242.7,4.33,0.76,2.46,1.3,23700,42662,30810,-11852,237,5.485,55.3,-22362.264150943396,58132.07547169811,80494.3396226415,1.3038,-0.0038000000000000256,-11852,0,0.16919229132194458
SF10002,Maharashtra,Nalgonda,Maize,Kharif,6.53,855.4,25.7,78.4,5.1,5.2,32.0,82.1,35.4,121.8,Flood,271.4,6.86,0.94,0.3,1.96,20613,492351,40401,-451950,4953,0.396,49.9,-69211.33231240428,6186.98315467075,75398.31546707504,1.959,0.0009999999999998899,-451950,0,0.14346455267816371
SF10003,Telangana,Warangal,Pulses,Rabi,4.86,455.6,23.9,56.4,10.3,5.82,8.1,118.5,51.5,117.9,Drip,162.6,6.08,0.98,0.52,2.53,75283,315210,190466,-124744,1275,1.984,33.7,-25667.489711934155,39190.534979423865,64858.02469135802,2.5272,0.0027999999999996916,-124744,0,0.21251173580205218
SF10004,Telangana,Indore,Rice,Kharif,4.5,753.2,29.7,65.2,6.3,5.98,23.7,138.6,55.6,115.5,Rainfed,182.2,6.39,0.74,1.84,8.28,24244,296444,200740,-95704,3834,2.16,50.6,-21267.555555555555,44608.88888888889,65876.44444444444,8.280000000000001,-1.7763568394002505e-15,-95704,0,0.1673225891961639
SF10005,Karnataka,Ludhiana,Maize,Zaid,4.21,101.6,34.1,55.2,6.5,6.9,29.3,124.1,69.0,121.4,Flood,244.9,7.61,0.9,2.21,9.3,20818,337959,193607,-144352,3287,2.829,32.3,-34287.88598574822,45987.410926365796,80275.29691211402,9.3041,-0.004099999999999326,-144352,0,0.22259871516575208
SF10006,Gujarat,Raichur,Pulses,Zaid,5.46,356.0,33.6,49.0,8.3,6.93,11.4,105.1,34.7,78.7,Rainfed,58.8,4.48,0.89,0.72,3.93,68593,302333,269570,-32763,1093,3.596,57.1,-6000.549450549451,49371.794871794875,55372.344322344325,3.9312,-0.0011999999999998678,-32763,0,0.15262536389132733
SF10007,Telangana,Warangal,Wheat,Rabi,8.13,432.2,23.5,50.8,9.5,6.96,24.7,115.8,69.4,109.8,Rainfed,181.6,7.99,0.87,2.53,20.57,22951,513341,472102,-41239,2368,8.687,31.6,-5072.447724477244,58069.12669126691,63141.57441574415,20.5689,0.001100000000000989,-41239,0,0.2486639558632485
SF10008,Tamil Nadu,Ludhiana,Pulses,Kharif,5.34,860.2,29.0,64.9,7.9,6.09,36.9,112.7,60.9,115.9,Sprinkler,245.8,5.89,0.7,1.18,6.3,70042,436200,441265,5065,1704,3.697,54.2,948.501872659176,82633.89513108614,81685.39325842696,6.3012,-0.0011999999999998678,5065,0,0.16448343178611888
SF10009,Karnataka,Guntur,Cotton,Zaid,6.98,624.7,33.4,46.8,7.9,6.41,12.3,66.9,47.6,134.2,Sprinkler,190.7,2.21,0.88,1.53,10.68,70771,525129,755834,230705,5079,2.103,54.7,33052.29226361031,108285.67335243552,75233.3810888252,10.679400000000001,0.0005999999999986017,230705,0,0.16937164685209047
SF10010,Tamil Nadu,Raichur,Chilli,Rabi,13.69,415.8,22.3,57.3,8.6,6.6,23.3,117.9,37.2,116.6,Drip,168.8,7.29,0.7,2.29,31.35,94383,1004072,2958907,1954835,5984,5.239,41.7,142792.9145361578,216136.376917458,73343.46238130023,31.350099999999998,-9.999999999621423e-05,1954835,0,0.30017492944326185
